"","tweet"
"105","huwag na tayong maglokohan mahirap ang buhay ng maraming pilipino dahil sa mga magnanakaw sa gobyerno ubusin na natin ang mga magnanakaw"
"106","tama si sen ping lacson halos lahat ng presidentiables sinabi ito kagabi inulitulit pa ng iba alam ni senping ang mga problema ng bansa alam din niya paano ito maisasaayos bilang isang pangulo na hindi malalasing sa kapangyarihang kaakibat ng posisyon na ito"
"107","that pause by sen ping at the sound of the bell signaling that time is up spoke volumes about his approach to observing rules"
"108","malinis na gobyerno ang nag hihintay sa atin"
"109","aba napaaga ang aming idol go sen ping lacson"
"110","we truly need a leader like ping lacson because he is the only one who can restore the trust amp faith of humanity phils will be better soon thru the leadersh"
"111","alam nyo na kung sino ang tama tama si ping kaya bumoto ng tama"
"112","pati sila agree na tama si pinglacson tama si ping kaya bumoto ng tama"
"113","pati sila alam nilang tama ang leader nmintama si ping kaya bumoto ng tama"
"114","agree sila sa leader nmin tama si ping kaya bumoto ng tama"
"115","pambato nyo sa pangulo agree sa leader nmin tama si ping kaya bumoto ng tama"
"116","pinglacson for president 2022tama si ping kaya bumoto ng tama"
"117","pati sila agree sa leader ko pinglacson for president 2022tama si ping kaya bumoto ng tama"
"118","sabi ng mga presidential candidates tama si ping kaya bumoto ng tama"
"119","napakahalaga ng bawat boto ng tao sana gamitin natin ito sa tamang tao solid"
"120","napakahusay mo naman talaga po sir ping lacson"
"121","you did a great job on cnn debate sen ping lacson"
"122","masasabi naten tagumpay na tayo sa pagsuporta kay ping lacson"
"123","matalino at magaling ka talaga ping ah"
"124","ang galing mo sa debate kahapon idol ping lacson"
"125","tama si ping lacson kaya siya ang dapat nating iboto"
"126","ping lacson high integrity walang bahid ng corruption matapang leader vote wisely"
"127","sabi ng mga presidential candidates tama si ping kaya bumoto ng tama"
"128","ping is not a second choice he ought to be your first and only choice"
"129","basta kami nga taga cebuano solid ping ragud me"
"130","always ready talaga si ping lacson"
"131","why will they show up to the network that already endorsed a candidate your clan is so balimbing"
"132","pati mga kapwa nya tumatakbo sinasabi na tama sya"
"133","pinahanga nanaman ako ni sya talaga pinaka kwalipikadong mamuno ng bansang pilipinas"
"134","said at the end of my term when the pinoy looks back he will say i am better off than when this administration started"
"135","alert level 1 hopefully covid19 will leave us stronger as a nation amidst all the criticisms i am still convinced that if not for s strong leadership and political will we could not have been any better"
"136","sana po ay malaman din ninyo bakit si ping lacson ang kanilang napupusuang kandidato para sa pagkapangulo"
"137","mukhang suplado daw si senator alam nyo hindi natin kailangan ng palangiting magnanakaw sa gobyerno ang kailangan natin yung seryoso pero malinis na kumikilos para sa kapakanan ng bawat pilipino uulitin ko sana masarap ulam nyo"
"138","maayos na paggamit ng pondo ang dapat na ayusin sa gobyerno pondo na maraming makikinabang sana lalo na ang mga maliliit na komunidad"
"139","luvit and watched most of it and wasnt hardly finished and trudo had his tail between his leg great speach by a great statesman"
"140","lacson stronger rampd funding will also boost pinoy rice farmers"
"141","sa tamang pamumuno magkakaroon ng say say ang mga budget na ito na kailangan ng mas marami pa nating kababayan sa tamang lider maibibigay ng tama at mababantayan ng higpit at may malasakit ang bawat piso"
"142","lalaban tayo para sa mas maayos na gobyerno at maayos na kinabukasan para sa mga pilipino"
