"","tweet"
"117","panoorin si sonny trillanes meets bbm supporters"
"118","ingat kayong lahat"
"119","package deal to"
"120","we are proud to say i am a filipino"
"121","qc for bbmsara"
"122","bbmsara uniteam"
"123","bbmsara uniteam umulan umaraw solid tayo mga ka bbm"
"124","laglagan na ba ang"
"125","and how true is it kaya that a camp of an aspirant asked the questions in advance and when not granted heshe declined with your so called lame excuses"
"126","its better if you wear yellow maam it fits you nicely"
"127","go fight win toni g"
"128","hindi nila kayang tanggapin ang mapait na katotohanan na talo sila bbm amp sara lang ang sakalam"
"129","ganda their loss for absence"
"130","happy bbmsara day"
"131","the road to unity the uniteam song"
"132","bbm mission complete bbm supported by smni network groupowned and managed by master child baiter quiboloy has now united all presidential candidates to not attend the smni presidential debate"
"133","at least nag effort sila bus loads of kakampinks from laguna grabe pinanggalingan"
"134","huwag kami hoyy kasi ang bbm sara consistent sa dami ng supporters mula sa caravan sa mga interviews at sa mga surveys"
"135","tama tlaga c tpthis is the first debateung mga previous talks are just interviewsplease watch"
"136","mga kakampink lipat na kyo kay bbm kita nyo sinabihan pa nya kyo ng i love you kahit ang bastos nyo di paris ng ina nyo may gusto makipag selfie pinalayas"
"137","always top sa survey bbmsara 2022"
"138","baliw na talagapink taliban pr team bakit walang balot ulo ng nanay nyo sana nilagyan nyo din bigote para twin sister ni osama bin laden"
"139","id rather choose to be hated by many for supporting bbm than regretting my vote to support the wrong leader"
"140","go fake news go broke"
"141","mga nagtataka naman ako baliktad na ang mundo todo advise na ang mga bbm supporters sa inyo on how to get your acts straight pero dedma lang kayo mga are watching the proclamation rally and taking notes pa ha"
"142","yung totoo at madaming magagawa ang kailangan iboto hindi ung kurakot lang okay at tska ung kasabwat para mandaya sa mga boto omj kakahiya nice toni"
"143","omg mga inggit ang kakampink oh manang mana sa ina nila hahahahhaa"
"144","kahit ano pa sabhin nyu lipad na ang kinang ng kandidato nyubnigyan na sha ng opportunity and still walley so be happy for tomorrow is a new beginning"
"145","iyayy may the best candidate win"
"146","hehehe lets unite all supporters mabuhay success buyag ang kanina sa"
"147","bastat tayoy magkasama laging mayroon umagang kay ganda nagstart ng 45k and ended with 140k viewers naalala ko nun na proclaim si duterte as president grabe same feels nakakatindig balahibo nkakaiyak at higit sa lahat nkaka proud na maging pilipino"
"148","oh and to the who watched the proclamation thank you very much"
"149","yessss congratulations"
"150","toni tapos na ang laban may nanalo na"
"151","sorry but my guys but my"
"152","lang malakas"
"153","tapos na ang laban lang malakas"
"154","mga kulilat na nga mga ulol nagmamalaki pa hahahahha wla na may nanalo na lang malakas"
"155","hahahhahaha may nanalo na lang malakas"
"156","huwag nyo lokohin mga sarili nyo mga pinklawan hahahhaha at quezon city lang malakas"
"157","at quezon city huwag nyo lukohin ang mga sarili nyo may nanalo na lang malakas"
"158","may nanalo na lang malakas kahit ano pa gawin nyo mga kulto tangapin nyo nalang na wla ng career yan sinusuportahan nyo"
"159","go"
"160","nakakalunkot"
"161","when bbm declined cnn and other bias networks ang dami niyong ngawa tapos ngayong ang mga ito naman ang nag decline sa invitation may pa heart heart ang mga kakampwet hahahaha"
"162","we 60 of filipinos prefer bbmsara but mainstream media remains overwhelmingly antimarcos then mainstream media no longer represent the filipino people"
"163","so paano ngayon to magmumuka na naman kaming mayabang nito"
"164","grabe ang pasenxa ng ating maging pangulo"
"165","tapos na ang laban lang malakas pag yan natalo pa pretty sure dinaya na naman"
"166","like fatherlike son the 2 ferdinands"
"167","wla na lang malakas wla na si leni bangag lutang kulilat parin wla ng may nanalo na na"
"168","wla na lang malakas tapos na ang laban"
"169","i cant unsee the len 1 in this post ahahahaha"
"170","ive been scurrying back and forth from publications to websites searching for the plans and platforms of presidential candidates genuine question where can i find primary sources for bbms plans leni has them compiled in her website"
"171","ito sa atin sa mandaluyong kanina lang malakas"
"172","this is insane"
"173","bbm for president"
"174","bbm solid 2022"
"175","nakakahawa yun energy ano po sa mga nanood na 7800 kanina online ramdam ba tagos ba"
"176","oh ginawa nyo pang false asia yong pulse asia hahaha"
"177","syempre yan eh"
"178","sana mabawi ni bbm ang mga government owned companies meralco pldt phil steel bonifacio global city etc na na benta sa private sectors and file ulit ng gov case against hli or confiscate the land and give it to the rightful owners"
"179","count me in lang malakas si leni at isko para sa 2nd place hahahhaha"
"180","lang malakas"
"181","coming from an uknown trying hard starlet lang malakas"
"182","lang malakas"
"183","mygaddd"
"184","may nanalo na lang malakas"
"185","hahahhahahaha wla yan hahahahha lang malakas"
"186","lang malakas"
"187","just one of the many reasons why i love this man"
"188","kahit ano pang gawin nyong paninira kasinungalingan at panlilinlang sa mga tao wla ng maniniwala sa inyong mga ulolan nyo hahahha na ang next presidente"
"189","this tiktok comment made my day a supporter is not sure anymore"
"190","lang malakas hahahaha"
"191","the social media account owner who allegedly warned of an assassination plot on presidential candidate ferdinand bongbong marcos jr has agreed to undergo a polygraph test to prove his innocence"
"192","mga dh di kayo kilala"
"193","the social media account owner who allegedly warned of an assassination plot on presidential candidate ferdinand bongbong marcos jr has agreed to undergo a polygraph test to prove his innocence"
"194","a supporter asked me why i refer to him as the son of the late dictator lets ask google"
"195","novaliches bishop emeritus on founder amp servant leader s endorsement of the late dictators son malingmali ang endorsement ni bro mike kay sa aking pananaw ay malingmali"
"196","bongbong marcos will join smni presidential debate"
"197","happy hearts day ka bbm qc for bbmsara"
"198","drop the tags for bony"
"199","bongbong marcos to skip cnn philippines presidential debate"
"200","kahit ano pa gawin mo lugaw lang malakas"
"201","at mandaluyong lang malakas"
"202","in the difficult moments hindi siya nagpapakita nagpapatawag ng pressmedia in the difficult moments hindi siya nagpapakita because"
"203","see the difference sa caravan ni bbm masaya sila masanay ka madam lenie"
"204","magaling kasi si lr walang tulugan ng 18 hours kya pala kaya sa election gising tayo ng 24 hours para walang magic"
"205","goosebumps"
"206","lang malakas wla yan ina mong baliw"
"207","el shaddai endorse"
"208","bbm for 2022 i do not indulge negative campaigning"
"209","bbm proclamation n qc"
"210","dahil wala yung 4 more air time for bbm para maipaliwanag sa publiko ang kanyang plataporma de gobierno marcos pa rin"
"211","head of house good luck"
"212","kasi mga at ang bibitter nila haha"
"213","parang nag usap usap ang 4 na isabutahe ang smni ahhhpinapakita lang nila na weak silang 4"
"214","agree po kahit ano linaw ng paliwanag sa knila lagi lamg sasabihin is magnanakaw chuchukung i eengage nila kyo lagyan nyo na lang na paulit ulit sa reply para magsi tigil hahaha ang babastos ng mga"
"215","basta ako nood ako bukas ng smni presidential debate"
"216","sure win n talaga c"
"217","di ako apektado sa iyak at paglulupasay nyo don kayo sa ina nyo na ubod ng banal pagawan nyo na din ng rebulto yan"
"218","bakit naman na bother mo at inoffens mo ang mga fenks pagod na pagod na yun digital manager nila pagpapakalat ng hate sayo at ni explain na bsta khit ano iyak at lupasay nila pa din solid"
"219","oist d k nmin pinipilit iboto si dyan ka sa ina mo na pagkabanal banal na walang bahid ng dungis susko khit kausapin mo ko ng 10days sa tweet never mo ko macoconvert ng kulay"
"220","rose mo pula hahahaha red and green kahit mag tumbling ka dyan un valentines day red pa din hindi pink for you nga pala"
"221","nakaluhod lang pero ang dinadasal ikakasama ng kapwa nya kung gsto mo boto ina mong nuknukan ng banal go di kita inaaya iboto si eh inyo na ina nyo walang bahid ng kasalanan napakalinis sobra"
