"","date","username","tweet","hashtags","link"
"106","3/17/2022","mpac_foundation","for over 24 years cameleon ph has been working to protect amp heal young girls who are survivors of sexual abuse  their centers provide a safe amp therapeutic environment for these girls visit ","['pacquiaofoundation', 'mannypacquiao']","https://twitter.com/MPac_Foundation/status/1504388207345291267"
"107","3/17/2022","presidentsbn","airdrop 2500   opensea account only guys idol   utility ","['mannypunk', 'nfts', 'mannypacquiao', 'vorzavats']","https://twitter.com/PresidentSBN/status/1504350259492794369"
"108","3/17/2022","ccllarenas","when  said to  that most politicians have business and using their position for their own benefit <U+0001F60F>       ","['mannypacquiao', 'tedfailon', 'tagalaspiÃ±as', 'corruption', 'phvote', 'newsfm', 'radyosingko', 'tvfive', 'tv5']","https://twitter.com/ccllarenas/status/1504268668288397313"
"109","3/17/2022","ccllarenas","when  said to  that most politicians have business and using their position for their own benefit <U+0001F60F>   ","['mannypacquiao', 'tedfailon', 'tagalaspiÃ±as', 'corruption', 'phvote']","https://twitter.com/ccllarenas/status/1504266772391686144"
"110","3/16/2022","awittylang","last election nagpapalit gyud kog tshirt ni du30 bsag di ko botante karon di gyapon ko botante hehehe      ","['natamadmagparehistro', 'bbm', 'letlenilead', 'isko', 'mannypacquiao', 'sorrypi']","https://twitter.com/awittylang/status/1504077162202030083"
"111","3/16/2022","blackfarmerlink","black farmers link youtube videos  description black many <U+0001F60E><U+0001F60E><U+0001F5A4><U+0001F4A3><U+0001F5A4><U+0001F576><U+0001F451><U+0001F1EE><U+0001F1F3><U+0001F1EE><U+0001F1F3> ll    video ","['balack', 'mannypacquiao', 'viralvideo']","https://twitter.com/blackfarmerlink/status/1504039517652721667"
"112","3/16/2022","ccnews__","crees que  gane la presidencia de  ","['mannypacquiao', 'filipinas']","https://twitter.com/CCNews__/status/1503883749829881863"
"113","3/16/2022","sottoernesto","   do the right thing help","['mannypacquiao', 'lenirobredo']","https://twitter.com/SottoErnesto/status/1503852020230332418"
"114","3/16/2022","choyzee","wrong move by the vp now drilon is asking the other candidates to consider withdrawing from the pres race in favor of leni how ironic       ","['halalan2022', 'eleksyon2022', 'letlenilead2022', 'pinglacson', 'iskomoreno', 'mannypacquiao']","https://twitter.com/choyzee/status/1503780874046697475"
"115","3/16/2022","deportrece","<U+0001F5D3><U+0001F94A> hoy recordamos la pelea del año 2008 entre juan manuel márquez y manny pacquiao 2 con polémico triunfo para el filipino  qué detalles recuerdas de esta épica batalla <U+0001F440>    ","['mannypacquiao', 'juanmanuelmarquez', 'boxing']","https://twitter.com/Deportrece/status/1503779421400055809"
