"","date","username","tweet","hashtags","link"
"5792","3/24/2022","zhianne25","ung binusog tayo ng pag aaruga at pagmamahal pero ang sinukli ng sambayanan ay poot at galitngaun let us correct the wrong history yes babawi tayo kay  ","['bbm', 'bbmsarauniteam']","https://twitter.com/zhianne25/status/1506885374294994944"
"5793","3/24/2022","mukipq","anu na  singilin niyo ba o magpapaka inutil na lang kayo 200 billion yan napakalaki   habol kayo sa mga maliliit na online seller at youtubers tos yan di niyo sisingilin huwag multiple standards ipatupad ang batas ng pantay pantay   ","['marcos', 'bbm', 'smni']","https://twitter.com/MukipQ/status/1506884374360330248"
"5794","3/24/2022","karls261124","go bbm  sana maka abot ako  kelan ba kasi ako makakaa uwe <U+0001F643>           ","['bbmsarauniteam', 'bbmforpresident', 'bbm', 'bbmsara', 'bbmonsoutcotababato']","https://twitter.com/Karls261124/status/1506882768407515146"
"5795","3/24/2022","pemba_buhle","thash1 for the finale ","['bbm']","https://twitter.com/pemba_buhle/status/1506881430676246533"
"5796","3/24/2022","lexiebpage2","  solid","['bbm']","https://twitter.com/LexieBPage2/status/1506879988909285376"
"5797","3/24/2022","diwata_0"," hi pops i always pray to god that the best person will be the next president coz i wanna have a better country   i wish its you po <U+0001F619>","['bbm']","https://twitter.com/diwata_0/status/1506876946332123139"
"5798","3/24/2022","diwata_0","bbm will be the next president<U+0001F63D>","['bbm']","https://twitter.com/diwata_0/status/1506876013468590080"
"5799","3/24/2022","wonjin0999","naghot chocolate ulit ako kanina tamang dagdag lang ulit kay  <U+2764><U+FE0F><U+0001F49A>","['bbm']","https://twitter.com/wonjin0999/status/1506872846756167681"
"5800","3/24/2022","mrclick125","ayaw daw nila sa magnanakaw  yung ina mo magnanakaw ng votes hahahahaa<U+0001F923>  ","['bbm']","https://twitter.com/MrClick125/status/1506870654783537152"
"5801","3/24/2022","rossjem1986","ohh   hahhaa bash ka ni lagreta o      ","['krisaquino', 'neveragain', 'bbm']","https://twitter.com/Rossjem1986/status/1506869032510627843"
"5802","3/24/2022","standupmak","kung galit ka kay  iboto mo sya kasi sa dami ng basura na iniwan ni tatay sa kanya ang bagsak lahat pero kung si  ang iboboto mo pucha galit ka ba sa pilipinas","['lenirobredo', 'bbm']","https://twitter.com/standupmak/status/1506868605555982336"
"5803","3/24/2022","raymund_dygenic"," im getting a vibe too that  will win","['bbm']","https://twitter.com/raymund_dygenic/status/1506867020322820101"
"5804","3/24/2022","mornstarr","i would choose you 10 billion usd times over  but for now  muna  <U+0001F64F><U+0001F3FB><U+0001F497><U+0001F493>","['bbm', 'leniforpresident2022']","https://twitter.com/mOrnstarr/status/1506866857210351618"
"5805","3/24/2022","mafayern","si  lang po pala ang nakakapagpagaling kay  tayo na sa kama kasi enindorse na si  at     <U+0001F609><U+0001F601>","['lenirobredo2022', 'krisaquino', 'bbm', 'saraduterte', 'yellowispink', 'puppet', 'nevergainaquinos']","https://twitter.com/MafayeRN/status/1506866419467706372"
"5806","3/24/2022","cpatricialaurel","  ","['bbm', 'lead']","https://twitter.com/cpatricialaurel/status/1506865690418216968"
"5807","3/24/2022","kesaman","  ","['bts', 'bbm']","https://twitter.com/kesaman/status/1506864475646803971"
"5808","3/24/2022","thisiskmt0313","bbm is very brave  brave in showing his incompetency that is <U+0001F926><U+0001F3FC><U+200D><U+2642><U+FE0F><U+0001F605>      <U+274C>     <U+0001F497>","['neveragain', 'neverforget', 'bbm', 'bbmsara2022', 'halalan2022', 'angatbuhaylahat', 'davaoispink', 'tarlacispink']","https://twitter.com/thisiskmt0313/status/1506864451592794115"
"5809","3/24/2022","toughlove48","pedophilia is the woke new frontier  if a woman can identify as a man then a 40yo lesbian woman can identify as an 8yo  vote  robredos woke party to gradually unlock this future     ","['leni', 'bbm', 'halalan2022', 'lenikiko2022', 'bbmsarauniteam']","https://twitter.com/toughlove48/status/1506864092203479043"
"5810","3/24/2022","jigzmo","our president <U+0001F1F5><U+0001F1ED><U+270C><U+0001F3FB>     ","['caviteforbbmsara', 'uniteambbmsara', 'bbm']","https://twitter.com/jigzmo/status/1506863987119783939"
"5811","3/24/2022","runahsalavante","    dahil sa sa kagagawan ng dilawan mo magkano ba ninakaw ng marcos sa yo yun lang ba alam mong ibabato wala kang proof sino naman inendorso ng partido ng presidente di ba si  kung weak leader si marcos an","['bbm', 'lenlenloser']","https://twitter.com/RunahSalavante/status/1506861530473635840"
"5812","3/24/2022","sisenyorito","ayan  wins with 3  with 2 and  with 1","['lenirobredo2022', 'bbm', 'isko']","https://twitter.com/SiSenyorito/status/1506860826099351552"
"5813","3/24/2022","myhappynook20","i miss using  <U+2728> not a fan of ","['bbm', 'imessage']","https://twitter.com/myhappynook20/status/1506858996287819781"
"5814","3/24/2022","eyediaz_md","so sino yung may mas malinaw na plano <U+0001F92D> napaghahalataan si jr kaya ayaw umattend ng debate kasi ayaw magprepare ng concrete platforms ayaw gawin ang assignment magkakampanya lang kapag nanalo tsaka na lang isipin kung ano gagawin      bobomo <U+0001F92D>","['lenirobredoforpresident', 'bbm']","https://twitter.com/eyediaz_md/status/1506857257824251904"
"5815","3/24/2022","tintinbuenaobra"," si lola  si baby  love and unity <U+0001F90D> ","['leni', 'bbm']","https://twitter.com/tintinbuenaobra/status/1506856549334978561"
"5816","3/24/2022","zhianne25","mga new pink army  tandaan nyo lahat ng ginagawa nyong kabastusan kay popsy  ay nagbabackfire lahat kay mama nyo leni  ","['bbm', 'bbmsarauniteam']","https://twitter.com/zhianne25/status/1506855830540279813"
