date,username,tweet,hashtags,link
3/20/2022,soundcheckmnl,World-class free housing! That is what you will get when you vote for #IskoMoreno @IskoMoreno check out the Tondominiums and Binondominiums! #KayIskoPosible #SwitchToIsko #Yorme  https://t.co/YPIYUiWI63,"['iskomoreno', 'kayiskoposible', 'switchtoisko', 'yorme']",https://twitter.com/SoundCheckMNL/status/1505421693493293058
3/20/2022,baby0811,#PiliPinasDebates2022  #SwitchToIsko Isko Moreno Domagoso #yorme #isko,"['pilipinasdebates2022', 'switchtoisko', 'yorme', 'isko']",https://twitter.com/baby0811/status/1505404612467359745
3/22/2022,fontesora,Sabong na! 🤣 #UniteamBBMSARA #LeniKiko2022 #Isko #PingLacson #Elections2022  https://t.co/xZDeLN2p0a,"['uniteambbmsara', 'lenikiko2022', 'isko', 'pinglacson', 'elections2022']",https://twitter.com/fontesora/status/1505955873952190464
3/21/2022,cessamestreeet,"Pls let's make ""ISSA"" possibe. :( #Isko #Sara","['isko', 'sara']",https://twitter.com/Cessamestreeet/status/1505892803574140929
3/21/2022,francis_medina_,"Ang @COMELEC Debate nagiging forum. Boring! Sana talaga dumalo na si #BBM sa mga susunod na round. Seriously, it would be entertaining and an eye-opener for us voter. Magkaalaman na talaga kung sino ang dapat iboto. #isiPINGmabuti #kakampinks #Lacson #Leni #Isko #KaLeody","['bbm', 'isipingmabuti', 'kakampinks', 'lacson', 'leni', 'isko', 'kaleody']",https://twitter.com/francis_medina_/status/1505786888581369856
3/21/2022,15sorana,There is no uncorrupt candidates running for president. Lahat may issues. Nagbubulag bulagan lng talaga ang iba dyan. Vote for less evil.  #Bongbong #Leni #Isko #Ping #Election2022,"['bongbong', 'leni', 'isko', 'ping', 'election2022']",https://twitter.com/15Sorana/status/1505780801816100867
3/21/2022,itzymidzychaery,Stop asking me who is the president i support!!!!  Im not into politics.😊🌷🎀  #babym #leni #isko #ping #letmannyleadtheprayer,"['babym', 'leni', 'isko', 'ping', 'letmannyleadtheprayer']",https://twitter.com/ITZYMIDZYChaery/status/1505752668496556033
3/21/2022,raftabios,@ncleclxto Sorry beh dahil dyan #isko na aq 🤗,['isko'],https://twitter.com/raftabios/status/1505750134935605254
3/21/2022,naguitrufina,Tao Naman! #switchtoisko #isko #kayiskoposible  https://t.co/84FD6Afanc via @YouTube,"['switchtoisko', 'isko', 'kayiskoposible']",https://twitter.com/NaguitRufina/status/1505590293454024704
3/20/2022,juan_opinion,Paki sagot po #kakampink #bbmsupporters #isko #mannypacquiao  https://t.co/nk3HAqDykO,"['kakampink', 'bbmsupporters', 'isko', 'mannypacquiao']",https://twitter.com/juan_opinion/status/1505435549376548864
3/20/2022,persicanterd,character development. lol. loves the attention. matibay na nilalang. at least ni admit sha sa iya bakak. forgiven by the pinklawan but never forgotten. pero grb sd btaw maka bash ning ubang supporters ni bbm. #bbm #leni #isko #tagkonirinsiisko #bcheismypresident😅 #sanakayorin😄  https://t.co/iMTy3ffM25,"['bbm', 'leni', 'isko', 'tagkonirinsiisko', 'bcheismypresident', 'sanakayorin']",https://twitter.com/persicanterd/status/1505350371992305665
3/20/2022,amierismail_i,#twojoints #isko,"['twojoints', 'isko']",https://twitter.com/amierismail_i/status/1505336556264964096
3/20/2022,ching_sep21,"They are posting the bastos posters made by those who attended her rally and I totally agree, bastos sya! My question now is bakit inakap nyo yung mga naging bukambibig nila dutz, mocha, gadon, et al? #bastos #kakampinks #isko #MarcosNumber1Sinungaling #LeniForPresident2022","['bastos', 'kakampinks', 'isko', 'marcosnumber1sinungaling', 'leniforpresident2022']",https://twitter.com/Ching_sep21/status/1505332923012067328
3/20/2022,wtioco,@ughmigos I2 yng the best among the rest!☝️💙 #SwitchToIsko #Isko #Leni #Marcos  https://t.co/xrOr2rSunZ,"['switchtoisko', 'isko', 'leni', 'marcos']",https://twitter.com/WTioco/status/1505247772294848513
3/20/2022,wtioco,@lenispinks Man with a plan! ☝️💙#SwitchtoIsko #Isko #Leni #Marcos  https://t.co/DOWjDckv18,"['switchtoisko', 'isko', 'leni', 'marcos']",https://twitter.com/WTioco/status/1505247207737348097
3/20/2022,wtioco,@totoyfrqnz Man with a plan!☝️💙 #SwitchToIsko #Isko #Leni #Marcos  https://t.co/84rLnXky5C,"['switchtoisko', 'isko', 'leni', 'marcos']",https://twitter.com/WTioco/status/1505246810083717121
3/20/2022,wtioco,@Maryella1703 @reginevlsqz Our nation builder...☝️💙 #SwitchToIsko #Isko #Leni #Marcos  https://t.co/ln4JqVqvS9,"['switchtoisko', 'isko', 'leni', 'marcos']",https://twitter.com/WTioco/status/1505246227994054656
3/20/2022,wtioco,@reginevlsqz Man with a plan! ☝️💙#SwitchtoIsko #Isko #Leni #Marcos  https://t.co/TW4HS2uF6P,"['switchtoisko', 'isko', 'leni', 'marcos']",https://twitter.com/WTioco/status/1505245789018210304
3/20/2022,wtioco,"A better version of duterte, better than Leni (Cory lite) sa educational background Lang lamang si Leni &amp; duterte Kay isko dhil ndi nman abugado si isko pero may puso sa mga Pilipino,maka Dios,Magaling na lider,Totoong tao,sincere at honest. #isko #Leni #PresidentialDebate  https://t.co/poFjpYWLwt","['isko', 'leni', 'presidentialdebate']",https://twitter.com/WTioco/status/1505240619211321344
3/20/2022,wtioco,Ito yng sinasabe Mong iskorap: #Isko #Leni #BBM #PresidentialDebate2022  https://t.co/E417mXFbO0,"['isko', 'leni', 'bbm', 'presidentialdebate2022']",https://twitter.com/WTioco/status/1505238607140773890
3/20/2022,wtioco,@jeonbound 2 joints. Don't panic it's organic! #isko  https://t.co/eghjXsOr6i,['isko'],https://twitter.com/WTioco/status/1505236781792333826
3/20/2022,maica198909,#Isko,['isko'],https://twitter.com/Maica198909/status/1505220835258548229
3/20/2022,haypowhaypow1,Padagdag naman ng followers para macount hashtag ko huhuhu bago lang ako rito  #SwitchToIsko  #KayIskoPosible  #Yorme #isko,"['switchtoisko', 'kayiskoposible', 'yorme', 'isko']",https://twitter.com/HaypowHaypow1/status/1505219724661358592
3/20/2022,haypowhaypow1,#SwitchToIsko  #KayIskoPosible  #Yorme #isko,"['switchtoisko', 'kayiskoposible', 'yorme', 'isko']",https://twitter.com/HaypowHaypow1/status/1505219389054152704
3/19/2022,official_aidzz,THIS IS THE MEME  #ComelecPresidentialDebate  #Leni #KaLeody #Ping #Isko  https://t.co/LS2HQvjaP3,"['comelecpresidentialdebate', 'leni', 'kaleody', 'ping', 'isko']",https://twitter.com/official_aidzz/status/1505212211555299329
3/19/2022,henrycarl_r,Friends pa din! #LetLeniLead #bbm #isko  https://t.co/v6R1hf34fY,"['letlenilead', 'bbm', 'isko']",https://twitter.com/henrycarl_r/status/1505206364825477120
3/19/2022,theavidus,"@MariGador2 Mag bayad muna siya ng buwis, bago ka maga-akusa na bias ang media. Mamulat ka na ate, kinabukasan mo ang nakasalalay dito. #PiliPinasDebates2022 #Isko #switchtoLeni Fucking 203 Billion Pesos pinaguusapan dito","['pilipinasdebates2022', 'isko', 'switchtoleni']",https://twitter.com/TheAvidus/status/1505205651647066114
3/19/2022,vince151996,#isko #BilisKilos #savotes,"['isko', 'biliskilos', 'savotes']",https://twitter.com/Vince151996/status/1505203537768329220
3/19/2022,mommypinky50,#isko OMG!,['isko'],https://twitter.com/mommypinky50/status/1505188932295614472
3/19/2022,jbkoryx,"@Patrick_ThyMe Kung ang pagpapatayo ni Yorme Isko ng pabahay sa mahihirap, pagsasaayos ng hospital, pagpapaganda ng Parks and Zoo ay trying sound good pwes. Get iba ang mundo mo. #Isko",['isko'],https://twitter.com/JBKoryx/status/1505182361369321474
