"","date","username","tweet","hashtags","link"
"41","2/14/2022","linglingabe","ang totoong caravan team in","['biliskilos', 'samar', 'yormeisko', 'halalan2022']","https://twitter.com/LinglingAbe/status/1493113899821912065"
"42","2/14/2022","linglingabe","ang tunay na caravanwalang bayad kasi kanya kanyang kulay ng suot","['yormeisko', 'halalan2022']","https://twitter.com/LinglingAbe/status/1493062338840186881"
"43","2/14/2022","linglingabe","cah assistance sa mga fire victims ni ay hindi na bagoin fact naging policy na niya sa maynila yanexample jan ang","['yormeisko', 'basecommunity', 'kayiskoposible', 'halalan2022', 'ibotoangtamangkandidato']","https://twitter.com/LinglingAbe/status/1492994885535682561"
"44","2/14/2022","linglingabe","thank you miss vivian velez and your team for supporting di po kayo mahihiya na si ang sinuportahab niyo","['iskomoreno', 'yormeisko', 'biliskilos', 'halalan2022']","https://twitter.com/LinglingAbe/status/1492991770992406530"
"45","2/14/2022","linglingabe","in cavite fire victims in time of crisis talaga ang may at","['iskomoreno', 'biliskilos', 'yormeisko', 'tunaynasolusyon', 'mabilisumaksyon']","https://twitter.com/LinglingAbe/status/1492983459144372225"
"46","2/14/2022","linglingabe","thank you pasay rock pasay legit supporter walang bayad tunay na","['yormeisko', 'kayiskoposible', 'halalan2022', 'iskomoreno', 'makamasa']","https://twitter.com/LinglingAbe/status/1492938885252653056"
"47","2/14/2022","linglingabe","talaga ang future na pagawaing bayanhindi memapure dekalidad under","['kayiskoposible', 'yormeisko', 'halalan2022']","https://twitter.com/LinglingAbe/status/1492938498508488706"
"48","2/13/2022","linglingabe","in pasay taas noo kahit kanino","['iskodocwillie2022', 'yormeisko', 'kayiskodocwillie2022']","https://twitter.com/LinglingAbe/status/1492733549493243904"
"49","2/13/2022","linglingabe","team in pasay sulong","['biliskilos', 'yormeisko', 'halalan2022', 'kayiskodocwillieposible']","https://twitter.com/LinglingAbe/status/1492731662119145476"
"50","2/13/2022","linglingabe","ang leader marunong makihalubilo sa lahat ng antas ng tao","['yormeisko', 'iskomoreno', 'kayiskoposible', 'halalan2022']","https://twitter.com/LinglingAbe/status/1492695976456650757"
"51","2/13/2022","linglingabe","i love quezon city but my belongs to my president","['yormeisko']","https://twitter.com/LinglingAbe/status/1492679955477450753"
"52","2/16/2022","philpolitics22","when we make judgements were inevitably acting on limited knowledge isnt it best to ask if we seek to understand or simply let them be jay woodman","['bawaljudgmental', 'votebasedonmerits', 'iskomoreno', 'switchtoisko']","https://twitter.com/PhilPolitics22/status/1493707320278204417"
"53","2/15/2022","ivanathome","walang tinik yung debate sobrang luto na kasi","['smnipresidentialdebate', 'manggagawavsmagnanakaw', 'marcosmagnanakaw', 'switchtoisko']","https://twitter.com/IvanAtHome/status/1493610153760989194"
"54","2/15/2022","terephil","why isko meron kumakalat na is this part of the strategy dahil humihina na si elbiem","['switchtoisko']","https://twitter.com/Terephil/status/1493598596885016581"
"55","2/15/2022","camille_pineda7","no3 on the ballot","['kayiskoposible', 'iskomoreno2022', 'switchtoisko']","https://twitter.com/Camille_Pineda7/status/1493588281568555009"
"56","2/15/2022","philpolitics22","a politician who understands the concept of basic needs","['food', 'health', 'security', 'switchtoisko', 'iskomoreno', 'kayiskoposible']","https://twitter.com/PhilPolitics22/status/1493587808497577986"
"57","2/15/2022","ivanathome","reminder that many of the pinks are just as toxic as the marcos loyalists they hate so much enough of their noise","['switchtoisko', 'kayiskoposible', 'godfirst', 'biliskilos', 'iskomoreno']","https://twitter.com/IvanAtHome/status/1493583829013245964"
