,date,tweet
87,2/11/2022,hahaha si leni lang lutang so si blengblong genius
88,2/13/2022,nasa impyerno na ba ako
89,2/9/2022,there can never be unity if he only unifies politicians and allies unity of the people means unifying the different sectors of the community he gave a speech but not one that came from the heart all mouth no heart
90,2/15/2022,2 this is precisely the ideology behind my candidacy the candidacy of mayor twogether we have come twogether on the basis of unity see what unity can do for our country dont be a tumultuous supporter subscribe na sa
91,2/15/2022,day 1528 cauyan isabela
92,2/15/2022,1 bbm i will be a unifying president also bbm signed alliance with other 3 big political parties in the phils ganyan dapat you walk the talk we should help and support each other theres strength in unity
93,2/15/2022,dami talagang artista supportado sa
94,2/15/2022,ngpa ppansin lng yn ppa awa epek kulelat ba nmn
95,2/15/2022,owemjii why are you guys mad at me did i get mad when you guys tweet that bbm is duwag oh no hahahaha
96,2/15/2022,hindi ko cya mama or nanay please lang yuck inyong inyo na nanay lenlen nyo
97,2/15/2022,ako ang self proclaimed number 1 pusang basher ng mga pinklawans bakit meron pa ba ibang pusa na active ang political views sa twitter
98,2/15/2022,sarap pakinggan ang awit na ito
99,2/15/2022,push nyo pa na bright ang nanay nyo another delusion ng mga fanatics ng pinklawans formerly known as dilawans
100,2/15/2022,eto yun hindi pinapakita na dami ng tao sa amorantoqc feeling nila ang dami na nila pumanta sa qc circle delusional tlaga mga anak ni lenlen
101,2/15/2022,i will never vote any yellows aka pinks
102,2/15/2022,para sa mga pinklawan mga cheap at hampaslupa ang supporters ni bbmsara kase sila lang ang mga mayayaman disente kagalanggalang at mahahalagang tao sa lipunan na kataastaasang mga nilalang delusions of grandeur defense mechanism ng brain nyo yan
103,2/15/2022,ambait ng abias cbn dito ha walang nakakabit sa pangalan ni bbm na son of dictator
104,2/15/2022,to all the bbm supporters out there can yall please enlighten me on why you support him i just want a proper debate not just the leni lugaw argument para makita nyo to again para lang makita nyo to
105,2/15/2022,paninira ba yung pag sasabi ng totoo 900  cases and the trial of the century is held in the us but none of the 900  cases has been proven show us the final verdict of the supreme court stating that marcos family is convicted then ill change my vote
106,2/15/2022,grabe naman wag nyo masyado gagalingan
107,2/15/2022,being a leni supporter will not make you look intelligent honestly i see you like a terrorist attacking people attacking the government you can look down on me as a bbm supporter but that does not change who i am
108,2/15/2022,wow just wow na ito qc para marcos at sara
109,2/14/2022,besides i am still bbm ahahaah your english will not define your intelligence its your bad mouth
110,2/14/2022,pakibasa dun s kaninang ngcomment about sa mga marcosesgaleng na po yan kay atty
111,2/14/2022,take note more than 20000 supporters hindi yung haka haka lang na 300600k bwahwhwhwhwhwhw
112,2/14/2022,tama nga naman si tp the debate tom will be the first tapos backout mode yung apat si bbm pa nga ang aattend
113,2/14/2022,watch tps analysis re nonappearance of some aspirants on smni debate
114,2/14/2022,my president pbbm
115,2/14/2022,excited na ako sa smni debates tomorrow balita ko di nila alam yung mga questions yun yung maganda makaka alaman talaga now i know the reason kung bakit daming nawala hahaha qc for bbmsara
116,2/14/2022,isabela ready na ba kayo
117,2/14/2022,panoorin si sonny trillanes meets bbm supporters
118,2/14/2022,ingat kayong lahat
119,2/14/2022,package deal to
120,2/14/2022,we are proud to say i am a filipino
121,2/14/2022,qc for bbmsara
122,2/14/2022,bbmsara uniteam
123,2/14/2022,bbmsara uniteam umulan umaraw solid tayo mga ka bbm
124,2/14/2022,laglagan na ba ang
125,2/14/2022,and how true is it kaya that a camp of an aspirant asked the questions in advance and when not granted heshe declined with your so called lame excuses
126,2/14/2022,its better if you wear yellow maam it fits you nicely
127,2/14/2022,go fight win toni g
128,2/14/2022,hindi nila kayang tanggapin ang mapait na katotohanan na talo sila bbm amp sara lang ang sakalam
129,2/14/2022,ganda their loss for absence
130,2/14/2022,happy bbmsara day
131,2/14/2022,the road to unity the uniteam song
132,2/14/2022,bbm mission complete bbm supported by smni network groupowned and managed by master child baiter quiboloy has now united all presidential candidates to not attend the smni presidential debate
133,2/13/2022,at least nag effort sila bus loads of kakampinks from laguna grabe pinanggalingan
134,2/8/2022,huwag kami hoyy kasi ang bbm sara consistent sa dami ng supporters mula sa caravan sa mga interviews at sa mga surveys
135,2/14/2022,tama tlaga c tpthis is the first debateung mga previous talks are just interviewsplease watch
136,2/14/2022,mga kakampink lipat na kyo kay bbm kita nyo sinabihan pa nya kyo ng i love you kahit ang bastos nyo di paris ng ina nyo may gusto makipag selfie pinalayas
137,2/13/2022,always top sa survey bbmsara 2022
138,2/13/2022,baliw na talagapink taliban pr team bakit walang balot ulo ng nanay nyo sana nilagyan nyo din bigote para twin sister ni osama bin laden
139,2/12/2022,id rather choose to be hated by many for supporting bbm than regretting my vote to support the wrong leader
140,2/10/2022,go fake news go broke
141,2/9/2022,mga nagtataka naman ako baliktad na ang mundo todo advise na ang mga bbm supporters sa inyo on how to get your acts straight pero dedma lang kayo mga are watching the proclamation rally and taking notes pa ha
142,2/9/2022,yung totoo at madaming magagawa ang kailangan iboto hindi ung kurakot lang okay at tska ung kasabwat para mandaya sa mga boto omj kakahiya nice toni
143,2/9/2022,omg mga inggit ang kakampink oh manang mana sa ina nila hahahahhaa
144,2/9/2022,kahit ano pa sabhin nyu lipad na ang kinang ng kandidato nyubnigyan na sha ng opportunity and still walley so be happy for tomorrow is a new beginning
145,2/9/2022,iyayy may the best candidate win
146,2/8/2022,hehehe lets unite all supporters mabuhay success buyag ang kanina sa
147,2/8/2022,bastat tayoy magkasama laging mayroon umagang kay ganda nagstart ng 45k and ended with 140k viewers naalala ko nun na proclaim si duterte as president grabe same feels nakakatindig balahibo nkakaiyak at higit sa lahat nkaka proud na maging pilipino
148,2/8/2022,oh and to the who watched the proclamation thank you very much
149,2/8/2022,yessss congratulations
150,2/8/2022,toni tapos na ang laban may nanalo na
151,2/11/2022,sorry but my guys but my
152,2/15/2022,lang malakas
153,2/15/2022,tapos na ang laban lang malakas
154,2/14/2022,mga kulilat na nga mga ulol nagmamalaki pa hahahahha wla na may nanalo na lang malakas
155,2/14/2022,hahahhahaha may nanalo na lang malakas
156,2/14/2022,huwag nyo lokohin mga sarili nyo mga pinklawan hahahhaha at quezon city lang malakas
157,2/14/2022,at quezon city huwag nyo lukohin ang mga sarili nyo may nanalo na lang malakas
158,2/14/2022,may nanalo na lang malakas kahit ano pa gawin nyo mga kulto tangapin nyo nalang na wla ng career yan sinusuportahan nyo
159,2/14/2022,go
160,2/14/2022,nakakalunkot
161,2/14/2022,when bbm declined cnn and other bias networks ang dami niyong ngawa tapos ngayong ang mga ito naman ang nag decline sa invitation may pa heart heart ang mga kakampwet hahahaha
162,2/14/2022,we 60 of filipinos prefer bbmsara but mainstream media remains overwhelmingly antimarcos then mainstream media no longer represent the filipino people
163,2/14/2022,so paano ngayon to magmumuka na naman kaming mayabang nito
164,2/14/2022,grabe ang pasenxa ng ating maging pangulo
165,2/14/2022,tapos na ang laban lang malakas pag yan natalo pa pretty sure dinaya na naman
166,2/14/2022,like fatherlike son the 2 ferdinands
167,2/14/2022,wla na lang malakas wla na si leni bangag lutang kulilat parin wla ng may nanalo na na
168,2/14/2022,wla na lang malakas tapos na ang laban
169,2/14/2022,i cant unsee the len 1 in this post ahahahaha
170,2/14/2022,ive been scurrying back and forth from publications to websites searching for the plans and platforms of presidential candidates genuine question where can i find primary sources for bbms plans leni has them compiled in her website
171,2/14/2022,ito sa atin sa mandaluyong kanina lang malakas
172,2/14/2022,this is insane
173,2/13/2022,bbm for president
174,2/13/2022,bbm solid 2022
175,2/13/2022,nakakahawa yun energy ano po sa mga nanood na 7800 kanina online ramdam ba tagos ba
176,2/13/2022,oh ginawa nyo pang false asia yong pulse asia hahaha
177,2/13/2022,syempre yan eh
178,2/13/2022,sana mabawi ni bbm ang mga government owned companies meralco pldt phil steel bonifacio global city etc na na benta sa private sectors and file ulit ng gov case against hli or confiscate the land and give it to the rightful owners
179,2/13/2022,count me in lang malakas si leni at isko para sa 2nd place hahahhaha
180,2/13/2022,coming from an uknown trying hard starlet lang malakas
181,2/13/2022,mygaddd
182,2/13/2022,may nanalo na lang malakas
183,2/12/2022,hahahhahahaha wla yan hahahahha lang malakas
184,2/15/2022,just one of the many reasons why i love this man
185,2/15/2022,kahit ano pang gawin nyong paninira kasinungalingan at panlilinlang sa mga tao wla ng maniniwala sa inyong mga ulolan nyo hahahha na ang next presidente
186,2/14/2022,this tiktok comment made my day a supporter is not sure anymore
187,2/14/2022,lang malakas hahahaha
188,2/14/2022,the social media account owner who allegedly warned of an assassination plot on presidential candidate ferdinand bongbong marcos jr has agreed to undergo a polygraph test to prove his innocence
189,2/14/2022,mga dh di kayo kilala
190,2/14/2022,a supporter asked me why i refer to him as the son of the late dictator lets ask google
191,2/14/2022,novaliches bishop emeritus on founder amp servant leader s endorsement of the late dictators son malingmali ang endorsement ni bro mike kay sa aking pananaw ay malingmali
192,2/14/2022,bongbong marcos will join smni presidential debate
193,2/14/2022,happy hearts day ka bbm qc for bbmsara
194,2/14/2022,drop the tags for bony
195,2/14/2022,bongbong marcos to skip cnn philippines presidential debate
196,2/14/2022,kahit ano pa gawin mo lugaw lang malakas
197,2/14/2022,at mandaluyong lang malakas
198,2/13/2022,in the difficult moments hindi siya nagpapakita nagpapatawag ng pressmedia in the difficult moments hindi siya nagpapakita because
199,2/13/2022,see the difference sa caravan ni bbm masaya sila masanay ka madam lenie
200,2/13/2022,magaling kasi si lr walang tulugan ng 18 hours kya pala kaya sa election gising tayo ng 24 hours para walang magic
201,2/13/2022,goosebumps
202,2/13/2022,lang malakas wla yan ina mong baliw
203,2/12/2022,el shaddai endorse
204,2/12/2022,bbm for 2022 i do not indulge negative campaigning
205,2/15/2022,bbm proclamation n qc
206,2/15/2022,dahil wala yung 4 more air time for bbm para maipaliwanag sa publiko ang kanyang plataporma de gobierno marcos pa rin
207,2/15/2022,head of house good luck
208,2/15/2022,kasi mga at ang bibitter nila haha
209,2/15/2022,this
210,2/15/2022,parang nag usap usap ang 4 na isabutahe ang smni ahhhpinapakita lang nila na weak silang 4
211,2/15/2022,agree po kahit ano linaw ng paliwanag sa knila lagi lamg sasabihin is magnanakaw chuchukung i eengage nila kyo lagyan nyo na lang na paulit ulit sa reply para magsi tigil hahaha ang babastos ng mga
212,2/15/2022,basta ako nood ako bukas ng smni presidential debate
213,2/15/2022,sure win n talaga c
214,2/15/2022,di ako apektado sa iyak at paglulupasay nyo don kayo sa ina nyo na ubod ng banal pagawan nyo na din ng rebulto yan
215,2/15/2022,bakit naman na bother mo at inoffens mo ang mga fenks pagod na pagod na yun digital manager nila pagpapakalat ng hate sayo at ni explain na bsta khit ano iyak at lupasay nila pa din solid
216,2/15/2022,oist d k nmin pinipilit iboto si dyan ka sa ina mo na pagkabanal banal na walang bahid ng dungis susko khit kausapin mo ko ng 10days sa tweet never mo ko macoconvert ng kulay
217,2/15/2022,rose mo pula hahahaha red and green kahit mag tumbling ka dyan un valentines day red pa din hindi pink for you nga pala
218,2/15/2022,nakaluhod lang pero ang dinadasal ikakasama ng kapwa nya kung gsto mo boto ina mong nuknukan ng banal go di kita inaaya iboto si eh inyo na ina nyo walang bahid ng kasalanan napakalinis sobra
219,2/15/2022,ah kay pala ayaw makita ni dodong ang pastor quiboloy hahaha inis talo si dodong maneh
220,2/14/2022,actually its not my first time to vote yung mga nauna eh parang wla lng po sakin kasi sabi ko kahit sino naman ibo2to ko ganun din naman walang pagba2go but sir in 5922 i will put my trust in you
221,2/14/2022,i am back at tiktok nakagawa tuloy ng background music hahaha go
222,2/14/2022,syempre nagfeeling reporter ako kanina dito sa amoranto stadium
223,2/14/2022,debate yan ahhindi interview debate and interview ay iiba diba yan na ung hinihintay niyo
224,2/14/2022,happy valentines day
